"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"	"OCLC_Control_Number"
"Engineering Haptic Devices"	"9783031045363; 9783031045363"	"10.1007/978-3-031-04536-3"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/59318/1/978-3-031-04536-3.pdf"	""	"20.500.12657/59318"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-11-18T14:19:09Z"	""	""	"Kern, Thorsten A."	""	""	"F"	""
"Expanding Underground - Knowledge and Passion to Make a Positive Impact on the World : Proceedings of the ITA-AITES World Tunnel Congress 2023 (WTC 2023), 12-18 May 2023, Athens, Greece"	"9781000957822; 9781000957822; 9781003348030"	"10.1201/9781003348030"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76037/1/9781000957822.pdf"	""	"20.500.12657/76037"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc/4.0"	"Taylor & Francis"	"monograph"	"2023"	"2023-08-31T10:28:06Z"	""	""	"Anagnostou, Georgios"	""	""	"F"	""
"Space–Time Conservation Element and Solution Element Method : Advances and Applications in Engineering Sciences"	"9789819908769; 9789819908769; 9789819908752"	"10.1007/978-981-99-0876-9"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62457/1/978-981-99-0876-9.pdf"	"Wen, Chih-Yung"	"20.500.12657/62457"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-04-13T14:05:53Z"	"13"	""	""	""	""	"F"	""
"Vaccines for Neglected Pathogens: Strategies, Achievements and Challenges : Focus on Leprosy, Leishmaniasis, Melioidosis and Tuberculosis"	"9783031243554; 9783031243554; 9783031243547"	"10.1007/978-3-031-24355-4"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62397/1/978-3-031-24355-4.pdf"	""	"20.500.12657/62397"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-04-13T14:03:59Z"	""	""	"Christodoulides, Myron"	""	""	"F"	""
"Quantitative Models in Life Science Business : From Value Creation to Business Processes"	"9783031118142; 9783031118142"	"10.1007/978-3-031-11814-2"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60155/1/978-3-031-11814-2.pdf"	""	"20.500.12657/60155"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-12-13T12:35:48Z"	""	""	"Canci, Jung Kyu"	""	""	"F"	""
"Topological Obstructions to Stability and Stabilization : History, Recent Advances and Open Problems"	"9783031301339; 9783031301339; 9783031301322"	"10.1007/978-3-031-30133-9"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63535/1/978-3-031-30133-9.pdf"	"Jongeneel, Wouter"	"20.500.12657/63535"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-06-20T10:21:15Z"	""	""	""	""	""	"F"	""
"Sanctorius Sanctorius and the Origins of Health Measurement"	"9783031301186; 9783031301186; 9783031301179"	"10.1007/978-3-031-30118-6"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63572/1/978-3-031-30118-6.pdf"	"Hollerbach, Teresa"	"20.500.12657/63572"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-06-20T10:28:24Z"	""	""	""	""	""	"F"	""
"Drones and Geographical Information Technologies in Agroecology and Organic Farming : Contributions to Technological Sovereignty"	"9780429052842; 9780367146382; 9781032153551; 9780429629211"	"10.1201/9780429052842"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/57546/1/9780429629211.pdf"	""	"20.500.12657/57546"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2022-07-20T07:18:36Z"	""	""	"De Marchi, Massimo"	""	""	"F"	""
"Autonomous Trajectory Planning and Guidance Control for Launch Vehicles"	"9789819906130; 9789819906130; 9789819906123"	"10.1007/978-981-99-0613-0"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63034/1/978-981-99-0613-0.pdf"	""	"20.500.12657/63034"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-05-16T15:07:39Z"	""	""	"Song, Zhengyu"	""	""	"F"	""
"Membrane Based Point-of-Use Drinking Water Treatment Systems"	"9781789062724; 9781789062717; 9781789062731"	"10.2166/9781789062724"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63830/1/external_content.pdf"	"Labhasetwar, Pawan Kumar"	"20.500.12657/63830"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"IWA Publishing"	"monograph"	"2023"	"2023-07-06T05:31:03Z"	""	""	""	""	""	"F"	""
"Seawater Reverse Osmosis (SWRO) Desalination : Energy consumption in plants, advanced low-energy technologies, and future developments for improving energy efficiency"	"9781789061215; 9781789061208; 9781789061222"	"10.2166/9781789061215"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63831/1/external_content.pdf"	""	"20.500.12657/63831"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"IWA Publishing"	"monograph"	"2023"	"2023-07-06T05:31:14Z"	""	""	"Hong, Seungkwan"	""	""	"F"	""
"Annual Report on the Big Data of New Energy Vehicle in China (2021)"	"9789811955082; 9789811955082"	"10.1007/978-981-19-5508-2"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/58661/1/978-981-19-5508-2.pdf"	"Wang, Zhenpo"	"20.500.12657/58661"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-10-14T10:40:12Z"	""	""	""	""	""	"F"	""
"Visualising Safety, an Exploration : Drawings, Pictures, Images, Videos and Movies"	"9783031337864; 9783031337864; 9783031337857"	"10.1007/978-3-031-33786-4"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76234/1/978-3-031-33786-4.pdf"	""	"20.500.12657/76234"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-09-13T19:46:20Z"	""	""	"Le Coze, Jean-Christophe"	""	""	"F"	""
"Tortuosity and Microstructure Effects in Porous Media : Classical Theories, Empirical Data and Modern Methods"	"9783031304774; 9783031304774; 9783031304767"	"10.1007/978-3-031-30477-4"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/75358/1/978-3-031-30477-4.pdf"	"Holzer, Lorenz"	"20.500.12657/75358"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-08-14T15:53:28Z"	"333"	""	""	""	""	"F"	""
"Visions of DNA Nanotechnology at 40 for the Next 40 : A Tribute to Nadrian C. Seeman"	"9789811998911; 9789811998911; 9789811998904"	"10.1007/978-981-19-9891-1"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63968/1/978-981-19-9891-1.pdf"	""	"20.500.12657/63968"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-07-14T15:43:46Z"	""	""	"Jonoska, Nataša"	""	""	"F"	""
"Transformation Thermotics and Extended Theories : Inside and Outside Metamaterials"	"9789811959080; 9789811959080"	"10.1007/978-981-19-5908-0"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/58663/1/978-981-19-5908-0.pdf"	"Xu, Liu-Jun"	"20.500.12657/58663"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-10-14T10:40:14Z"	""	""	""	""	""	"F"	""
"Core Concepts and Methods in Load Forecasting : With Applications in Distribution Networks"	"9783031278525; 9783031278525; 9783031278518"	"10.1007/978-3-031-27852-5"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63002/1/978-3-031-27852-5.pdf"	"Haben, Stephen"	"20.500.12657/63002"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-05-16T15:06:41Z"	""	""	""	""	""	"F"	""
"Soft Crystals : Flexible Response Systems with High Structural Order"	"9789819902606; 9789819902606; 9789819902590"	"10.1007/978-981-99-0260-6"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62456/1/978-981-99-0260-6.pdf"	""	"20.500.12657/62456"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-04-13T14:05:51Z"	""	""	"Kato, Masako"	""	""	"F"	""
"Technology and Sustainable Development : The Promise and Pitfalls of Techno-Solutionism"	"9781000886078; 9781032350592; 9781032350561; 9781003325086"	"10.1201/9781003325086"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62281/1/9781000886078.pdf"	""	"20.500.12657/62281"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2023-04-05T12:27:15Z"	""	""	"Sætra, Henrik Skaug"	""	""	"F"	""
"Introduction to Nuclear Reactor Experiments"	"9789811965890; 9789811965890"	"10.1007/978-981-19-6589-0"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60192/1/978-981-19-6589-0.pdf"	"Wakabayashi, Genichiro"	"20.500.12657/60192"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-12-13T12:40:56Z"	""	""	""	""	""	"F"	""
"Anal Incontinence : Clinical Management and Surgical Techniques"	"9783031083921; 9783031083921"	"10.1007/978-3-031-08392-1"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/58626/1/978-3-031-08392-1.pdf"	""	"20.500.12657/58626"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-10-14T10:39:27Z"	""	""	"Docimo, Ludovico"	""	""	"F"	""
"Sowing : The Construction of Historical Longitudinal Population Databases"	"9789493296176"	"10.54195/BJYF5752"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76124/1/sowing.pdf"	""	"20.500.12657/76124"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Radboud University Press"	"monograph"	"2023"	"2023-09-04T12:06:28Z"	""	""	"Mandemakers, Kees"	""	""	"F"	""
"Proceedings of the 23rd Pacific Basin Nuclear Conference, Volume 1 : PBNC 2022, 1 - 4 November, Beijing & Chengdu, China"	"9789819910236; 9789819910236; 9789819910229"	"10.1007/978-981-99-1023-6"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63038/1/978-981-99-1023-6.pdf"	""	"20.500.12657/63038"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-05-16T15:07:48Z"	"283"	""	"Liu, Chengmin"	""	""	"F"	""
"Geodesy for a Sustainable Earth : Proceedings of the 2021 Scientific Assembly of the International Association of Geodesy, Beijing, China, June 28 – July 2, 2021"	"9783031295072; 9783031295072; 9783031295065"	"10.1007/978-3-031-29507-2"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/75370/1/978-3-031-29507-2.pdf"	""	"20.500.12657/75370"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-08-14T15:54:18Z"	"154"	""	"Freymueller, Jeffrey T."	""	""	"F"	""
"International Handbook of Engineering Education Research"	"9781000897432; 9781000897432; 9781003287483; 9781032262758; 9781032262765"	"10.4324/9781003287483"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76013/1/9781000897432.pdf"	""	"20.500.12657/76013"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0"	"Taylor & Francis"	"monograph"	"2023"	"2023-08-31T08:45:44Z"	""	""	"Johri, Aditya"	""	""	"F"	""
"Machine Learning for Brain Disorders"	"9781071631959; 9781071631959; 9781071631942"	"10.1007/978-1-0716-3195-9"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/75361/1/978-1-0716-3195-9.pdf"	""	"20.500.12657/75361"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-08-14T15:53:46Z"	"197"	""	"Colliot, Olivier"	""	""	"F"	""
"Developing Modern Livestock Production in Tropical Countries : Proceedings of the 5th Animal Production International Seminar (APIS 2022), Malang, Indonesia, 10 November 2022"	"9781000929591; 9781003370048; 9781032440279; 9781032440255"	"10.1201/9781003370048"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63073/1/9781000929591.pdf"	""	"20.500.12657/63073"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Taylor & Francis"	"monograph"	"2023"	"2023-05-23T13:59:17Z"	""	""	"Adli, Danung Nur"	""	""	"F"	""
"Marine Mammals : A Deep Dive into the World of Science"	"9783031068362; 9783031068362"	"10.1007/978-3-031-06836-2"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60806/1/978-3-031-06836-2.pdf"	""	"20.500.12657/60806"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-01-20T16:53:54Z"	""	""	"Brennecke, Dennis"	""	""	"F"	""
"A Guide to Responsible Research"	"9783031224126; 9783031224126; 9783031224119"	"10.1007/978-3-031-22412-6"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62387/1/978-3-031-22412-6.pdf"	""	"20.500.12657/62387"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-04-13T14:03:28Z"	"1"	""	"Marusic, Ana"	""	""	"F"	""
"Machine Learning and Its Application to Reacting Flows : ML and Combustion"	"9783031162480; 9783031162480"	"10.1007/978-3-031-16248-0"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60858/1/978-3-031-16248-0.pdf"	""	"20.500.12657/60858"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-01-20T16:55:08Z"	"44"	""	"Swaminathan, Nedunchezhian"	""	""	"F"	""
"Special Topics in Information Technology"	"9783031153747; 9783031153747"	"10.1007/978-3-031-15374-7"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/59362/1/978-3-031-15374-7.pdf"	""	"20.500.12657/59362"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2022-11-18T14:20:15Z"	""	""	"Riva, Carlo G."	""	""	"F"	""
"Challenging Assumptions Around Dementia : User-led Research and Untold Stories"	"9783031272233; 9783031272233; 9783031272226"	"10.1007/978-3-031-27223-3"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76223/1/978-3-031-27223-3.pdf"	"Ashworth, Rosalie"	"20.500.12657/76223"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-09-13T19:45:39Z"	""	""	""	""	""	"F"	""
"Vulnerability and Transformation of Indonesian Peatlands"	"9789819909063; 9789819909063; 9789819909056"	"10.1007/978-981-99-0906-3"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62459/1/978-981-99-0906-3.pdf"	""	"20.500.12657/62459"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-04-13T14:05:58Z"	""	""	"Mizuno, Kosuke"	""	""	"F"	""
"Nuclear Risks and Arms Control - Problems and Progresses in the Time of Pandemics and War : Proceedings of the XXII Edoardo Amaldi Conference, Accademia Nazionale dei Lincei, Rome, Italy, April 6–8, 2022"	"9783031297083; 9783031297083; 9783031297076"	"10.1007/978-3-031-29708-3"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76227/1/978-3-031-29708-3.pdf"	""	"20.500.12657/76227"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-09-13T19:45:54Z"	"291"	""	"Cotta-Ramusino, Paolo"	""	""	"F"	""
"Navigating the Cultures of Health Care and Health Insurance : Highly skilled migrants in the US"	"9781800083646; 9781800083653; 9781800083660; 9781800083677"	"10.14324/111.9781800083646"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62579/1/9781800083646.pdf"	"Zeldes, Nina"	"20.500.12657/62579"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc/4.0/"	"UCL Press"	"monograph"	"2023"	"2023-04-26T11:31:09Z"	""	""	""	""	""	"F"	""
"New Wars and Old Plagues : Armed Conflict, Environmental Change and Resurgent Malaria in the Southern Caucasus"	"9783031311437; 9783031311437; 9783031311420"	"10.1007/978-3-031-31143-7"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63955/1/978-3-031-31143-7.pdf"	"Hirschfeld, Katherine"	"20.500.12657/63955"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-07-14T15:43:07Z"	""	""	""	""	""	"F"	""
"RNA, the Epicenter of Genetic Information"	"9781000623086; 9781000623086; 9781003109242; 9780367623920; 9780367567781"	"10.1201/9781003109242"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/57585/1/9781000623086.pdf"	"Mattick, John"	"20.500.12657/57585"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0"	"Taylor & Francis"	"monograph"	"2023"	"2022-07-22T12:07:10Z"	""	""	""	""	""	"F"	""
"A Practical Guide on Behaviour Change Support for Self-Managing Chronic Disease"	"9783031200106; 9783031200106"	"10.1007/978-3-031-20010-6"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/61914/1/978-3-031-20010-6.pdf"	""	"20.500.12657/61914"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-03-17T15:21:55Z"	""	""	"Guerreiro, Mara Pereira"	""	""	"F"	""
"Electromechanobiology of Cartilage and Osteoarthritis : A Tribute to Alan Grodzinsky on his 75th Birthday"	"9783031255885; 9783031255885; 9783031255878"	"10.1007/978-3-031-25588-5"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62986/1/978-3-031-25588-5.pdf"	""	"20.500.12657/62986"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-05-16T15:06:13Z"	"1402"	""	"Connizzo, Brianne K."	""	""	"F"	""
"Bildverarbeitung in der Automation : Ausgewählte Beiträge des Jahreskolloquiums BVAu 2022"	"9783662667699; 9783662667699; 9783662667682"	"10.1007/978-3-662-66769-9"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/62433/1/978-3-662-66769-9.pdf"	""	"20.500.12657/62433"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-04-13T14:05:05Z"	"17"	""	"Lohweg, Volker"	""	""	"F"	""
"Making Presentation Math Computable : A Context-Sensitive Approach for Translating LaTeX to Computer Algebra Systems"	"9783658404734; 9783658404734"	"10.1007/978-3-658-40473-4"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/60822/1/978-3-658-40473-4.pdf"	"Greiner-Petter, André"	"20.500.12657/60822"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-01-20T16:54:17Z"	""	""	""	""	""	"F"	""
"Closing Rice Yield Gaps in Asia : Innovations, Scaling, and Policies for Environmentally Sustainable Lowland Rice Production"	"9783031379475; 9783031379475; 9783031379468"	"10.1007/978-3-031-37947-5"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/76241/1/978-3-031-37947-5.pdf"	""	"20.500.12657/76241"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-09-13T19:46:42Z"	""	""	"Connor, Melanie"	""	""	"F"	""
"Systems Biology : Functional Strategies of Living Organisms"	"9783031315572; 9783031315572; 9783031315565"	"10.1007/978-3-031-31557-2"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/63578/1/978-3-031-31557-2.pdf"	"Konieczny, Leszek"	"20.500.12657/63578"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0/"	"Springer Nature"	"monograph"	"2023"	"2023-06-20T10:29:23Z"	""	""	""	""	""	"F"	""
