"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"	"OCLC_Control_Number"
"Une clôture hermétique? : Isolement régulier et intérêts séculiers au monastère Saint-Pierre de Lobbes, VIIe–XIVe siècle"	"9783968220055; 9783968220048"	"10.17885/heiup.630"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/50758/1/heiUP_OAPEN_Verdoot_book.pdf"	"Verdoot, Jérôme"	"20.500.12657/50758"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-sa/4.0/"	"Heidelberg University Publishing (heiUP)"	"monograph"	"2021"	"2021-10-06T08:59:29Z"	"119"	""	""	""	""	"F"	""
"Klagens ABC : Boken Klagesangene i dens samtid og ettertid"	"9788202768584; 9788202773304; 9788202772888; 9788202772895; 9788202772901"	"10.23865/noasp.170"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/58895/1/Klagens_ABC_PDF.pdf"	"Granerød, Gard"	"20.500.12657/58895"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by/4.0/"	"Cappelen Damm Akademisk/NOASP (Nordic Open Access Scholarly Publishing)"	"monograph"	"2022"	"2022-10-18T09:07:07Z"	""	""	""	""	""	"F"	""
"Philipp Melanchthon : Die denker, leermeester en opvoeder van die Reformasie"	"9781776342174; 9781776342150; 9781776342167"	"10.4102/aosis.2022.BK327"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/59440/1/BK327_Web%20PDF.pdf"	"van Wyk, Ignatius W.C. (Natie)"	"20.500.12657/59440"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"AOSIS"	"monograph"	"2022"	"2022-11-21T14:35:18Z"	"12"	""	""	""	""	"F"	""
"Uushenkisyys"	"9789518585834; 9789518585810; 9789518585827"	"10.21435/tl.275"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/59170/1/uushenkisyys.pdf"	""	"20.500.12657/59170"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Finnish Literature Society / SKS"	"monograph"	"2022"	"2022-11-07T14:18:25Z"	"10"	""	"Mahlamäki, Tiina"	""	""	"F"	""
"Research on the Letter to the Galatians: 2000-2020. Volume 2 : Research on the Letter arranged according to Pericopes"	"9781776436071; 9781776436064; 9781776436088; 9781776436095"	"10.36615/9781776436071"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/64061/1/9781776436071.pdf"	"Tolmie, Donald Francois"	"20.500.12657/64061"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc/4.0/"	"UJ Press"	"monograph"	"2023"	"2023-07-24T12:10:35Z"	""	""	""	""	""	"F"	""
"Research on the Letter to the Galatians: 2000-2020. Volume 1 : Introductory Matters, Textual and Stylistic Issues, History of Interpretation, Interpretative Approaches, and Theology of the Letter"	"9781776436033; 9781776436026; 9781776436040; 9781776436057"	"10.36615/9781776436033"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/64060/1/9781776436033.pdf"	"Tolmie, Donald Francois"	"20.500.12657/64060"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc/4.0/"	"UJ Press"	"monograph"	"2023"	"2023-07-24T12:04:37Z"	""	""	""	""	""	"F"	""
"Zitate der Aeneis in den Briefen des Hieronymus : Eine digitale Intertextualitätsanalyse zur Untersuchung kultureller Transformationsprozesse"	"9783110760828; 9783110760569; 9783110761238"	"10.1515/9783110760828"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/75312/1/10.1515_9783110760828.pdf"	"Revellio, Marie"	"20.500.12657/75312"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by/4.0/"	"De Gruyter"	"monograph"	"2022"	"2023-08-08T13:46:12Z"	"17"	""	""	""	""	"F"	""
"Antisemitism in the North"	"9783110634822; 9783110632286;9783110631937"	"10.1515/9783110634822"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/23244/1/1006910.pdf"	""	"20.500.12657/23244"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0"	"De Gruyter"	"monograph"	"2020"	"2020-04-01T09:08:54Z"	"1"	""	"Adams, Jonathan"	""	""	"F"	""
"Judith Butler und die Theologie : Herausforderung und Rezeption"	"9783839447420; 9783839447420"	"10.14361/9783839447420"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/42808/1/9783839447420.pdf"	""	"20.500.12657/42808"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nc-nd/4.0/"	"transcript Verlag"	"monograph"	"2020"	"2020-11-04T13:17:28Z"	"15"	""	"Grümme, Bernhard"	""	""	"F"	""
"Praxeologie in der Historischen Bildungsforschung : Möglichkeiten und Grenzen eines Forschungsansatzes"	"9783839453742"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/42826/1/9783839453742.pdf"	""	"20.500.12657/42826"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by-nd/4.0/"	"transcript Verlag"	"monograph"	"2020"	"2020-11-04T13:18:11Z"	""	""	"Hoffmann-Ocon, Andreas"	""	""	"F"	""
"Sacrifice in Modernity : Community, Ritual, Identity : From Nationalism and Nonviolence to Health Care and Harry Potter"	"9789004335530"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/43470/1/external_content.pdf"	""	"20.500.12657/43470"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode"	"Brill"	"monograph"	"2020"	"2020-12-15T13:31:42Z"	""	""	"Duyndam, Joachim"	""	""	"F"	""
"Handbook of Leaving Religion"	"9789004331471"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/43466/1/external_content.pdf"	""	"20.500.12657/43466"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode"	"Brill"	"monograph"	"2020"	"2020-12-15T13:31:25Z"	""	""	"Enstedt, Daniel"	""	""	"F"	""
"Buddhism in Central Asia I : Patronage, Legitimation, Sacred Space, and Pilgrimage"	"9789004417731"	"10.1163/9789004417731"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/38124/1/9789004417731_webready_content_text.pdf"	""	"20.500.12657/38124"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc/4.0/"	"Brill"	"monograph"	"2020"	"2020-05-15T20:05:56Z"	"11"	""	"Meinert, Carmen"	""	""	"F"	""
"L’émergence de la norme internationale sur le « crime d’honneur » : Une analyse du discours onusien dans la perspective de l’histoire des religions"	"9783034342223; 9783034342223; 9783034342230; 9783034342247; 9783034341783"	"10.3726/b17811"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/47397/1/9783034342223.pdf"	"Schwab, Aurore"	"20.500.12657/47397"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0; https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode"	"Peter Lang International Academic Publishers"	"monograph"	"2021"	"2021-03-18T13:13:58Z"	""	""	""	""	""	"F"	""
"Judith Butler und die Theologie der Freiheit"	"9783839455074; 9783839455074; 9783837655070"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/50133/1/9783839455074.pdf"	"Werner, Gunda"	"20.500.12657/50133"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"transcript Verlag"	"monograph"	"2021"	"2021-07-19T13:54:34Z"	"22"	""	""	""	""	"F"	""
"A Bridge Between : Spanish Benedictine Missionary Women in Australia"	"9781760463526"	"10.22459/BB.2020"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/43142/1/book.pdf"	"Massam, Katharine"	"20.500.12657/43142"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"ANU Press"	"monograph"	"2020"	"2020-12-03T10:52:11Z"	""	""	""	""	""	"F"	""
"The Text of Leviticus : Proceedings of the Third International Colloquium of the Dominique Barthélemy Institute, held in Friboutg (October 2015)"	"9789042943445"	""	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/42995/1/9789042943452.pdf"	""	"20.500.12657/42995"	""	"full text"	"Publication licence: https://creativecommons.org/licenses/by-nc-nd/4.0/"	"Peeters"	"monograph"	"2020"	"2020-11-16T13:39:37Z"	"292"	""	"Himbaza, Innocent"	""	""	"F"	""
"Schützende Bewältigung : Eine Grounded Theory zu Diskriminierungserfahrungen von Fachkräften in der Sozialen Arbeit"	"9783658373924; 9783658373924"	"10.1007/978-3-658-37392-4"	""	""	""	""	""	""	"https://library.oapen.org/bitstream/20.500.12657/54452/1/978-3-658-37392-4.pdf"	"Logeswaran, Araththy"	"20.500.12657/54452"	""	"full text"	"Publication licence: http://creativecommons.org/licenses/by/4.0/"	"Springer Nature"	"monograph"	"2022"	"2022-05-13T12:19:43Z"	""	""	""	""	""	"F"	""
